Date,Direction,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,Headline,,,,,,,
1/1/2006,0," With Charges Aired, Coach Is Suspended And Inquiry Opens", Bankruptcy? Tougher Than Counseling a Soprano," At New York's Mayoral Inaugurations, Ask Not for a Great Speech"," Antidepressants Seem to Cut Suicide Risk in Teenagers and Adults, Study Says", Can You Revive an Extinct Animal?," Paid Notice: Memorials   BIGGART, EMILY B.", Maybe the Stock Pickers Have Gone Fishing," Something to Say About the Movie? By All Means, Speak Up", Making a Push On Pocketbook Issues," Paid Notice: Deaths   ZABRISKIE, PHILIP TYLER, B.", New Yorkers Who Earn The Minimum Get a Raise, Districts Know the Value Of Real Estate Agents, Putin Offers 3-Month Extension of Ukraine's Gas Subsidy, Ready for Everything Under the Solar Panel, Pension Issue Persists After the Transit Strike," More Open Space, More Affordable Housing", Pension Issue Persists After the Transit Strike, OFFICIALS AT U.N. SEEK FAST ACTION ON RIGHTS PANEL," In New Jersey, Party Bosses Meld Politics And Business", STREETSCAPES/The Beaux-Arts Ball; A New Age Of Architecture Ushered In Financial Gloom," Paradise Found, Limbo Lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2006,0, STATES TAKE LEAD IN PUSH TO RAISE MINIMUM WAGES, BUSINESS DIGEST," Holiday Is Over, but the Business Goes On; In This Trade, Christmas Lasts All Year Long", Sports of The Times; Barber as the M.V.P. Would Have Meaning, 'Casanova' Illuminated By Masters Of Baroque, Sunni Rights and Wrongs in Iraq, Advertising's Twilight Zone: That Signpost Up Ahead May Be a Virtual Product, Pakistanis Back Off Vow To Control Seminaries," Paid Notice: Memorials   BIGGART, EMILY B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2006,1, The Risks of Screenings," Well Served As Patients, Dissatisfied As Customers", 4 Arrested in Theft of Baby Jesus Figurines, The Depression-Holiday Link, Risks Ahead As Policies (And Money) Tighten in '06, Union Dissidents Say Transit Leader Gave Away Too Much," How's Business? Picking Up, With a Smile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2006,1, BUSINESS DIGEST," Woman in the News: Christine Callaghan Quinn; Speaker, Doer and Symbol in Top City Council Job"," Paid Notice: Deaths   WEISS, BLANCHE", Caught Up in a Turf War On Winnipeg's Mean Streets," Awaiting Word From Below, Relatives Honor the Missing"," Apartment Sales Decline, But Manhattan Prices Hold"," Paid Notice: Deaths  MCCARTHY, LAWRENCE F.", National Briefing | New England: Massachusetts: Gay Rights Suit, Risk Wins a Round Over Politics," Frank Wilkinson, Defiant Figure of Red Scare, Dies at 91", U.S. to Seek Dismissal of Guantánamo Suits, Mexico Investigates Death of Man Shot in U.S. by Border Patrol Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2006,1, Apple of Someone Else's Eye, Smile Like You Mean It, The Hazards and Rewards Of Opening With a Low Count, BUSINESS DIGEST," Paid Notice: Deaths   RUBIN, EMILY", Inquiry in 1992 Mob Killing Focuses on Ex-F.B.I. Agent, Russia and Ukraine Reach Compromise on Natural Gas," Paid Notice: Deaths  MCCARTHY, LAWRENCE F.", President of Nickelodeon Networks to Leave Company," Arts, Briefly; Spot-Swapping on Billboard", Metro Briefing | New York: Manhattan: Gunman Robs A Check-Cashing Business, An I.R.S. Audit May Be Cheaper Than I.R.S. Advice, When a Small Dog Really Must Have A Second Coat," Maktoum, Modernizing Dubai Emir, 62, Dies"," Paid Notice: Deaths   VISSLAILLI, JOSEPH T. (TOMMY) II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2006,1, A Host of Issues, 4 Purchasing Agents Accused Of Skimming School Money, Wendy's Returns 99 to Its Place on the Price Pedestal, BUSINESS DIGEST, Skeleton Coach Seeks Reinstatement Through Court Ruling, World Briefing | Asia: China: Prison For Businessman In Oil Well Dispute, Biotech Plan In Missouri Suffers Setback," Paid Notice: Deaths   SANTACREU, MELISSA ANN"," Paid Notice: Deaths  MCCARTHY, LAWRENCE F.", Abortion Rights in Latin America," As Usual, Risk; Unusually, No Reward for Trojans", Microsoft Shuts Blog's Site After Complaints by Beijing, A Trove of Americana From a Well-Stocked Attic Goes on the Block, Sports of The Times; N.F.L.'s Best-Kept Secret: Street Free Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2006,0," Ramirez Still Wants a Trade, at Least His Agent Says So", Ex-Premier of Ukraine Attacks Gas-Price Deal," Quietly Raising Stamp Prices, and a Few Hackles, Too"," Barry Cowsill, 51, Missing Since Hurricane", All Primed For Revival In Tech Stocks, Limbo Serves a Purpose, BUSINESS BRIEFS," Contemplating an Opening Bid, But Then the Telephone Rings", An Anemic Jobs Recovery," Dogs Gotta Bark, Birds Gotta Fly  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2006,0," One Square Mile, One Simmering Issue", Leaps and Bounds In Stoudemire's Rehabilitation," Football Analysis; Edwards Gone, Bradway Has No Place to Hide", The Domestic Dreamboat, A Flawed Premise," In Oklahoma, a Race to Save Homes and Livestock From Fast-Moving Flames"," From Mutual to Hedge Funds, and Back Again", Pop Ph.D.'s: How TV Ate Academics, Truth in Advertising?," In Britain, A Renaissance Among Literary Whingers", Gas Plant Faces Issue Of Secrecy, Boat Is Sunk Off Sri Lanka; 13 Missing," His Condition Slightly Improved, a Comatose Sharon Faces the Risk of Serious Infections", DataBank; Markets Welcome New Year With Big Gains, A Cure That Really Works: Cambodia Tries the Nonprofit Path to Health Care, Attack Kills 8 In Pakistan; U.S. Missile Is Blamed, Missing Voices," Paid Notice: Deaths   WEISS, RUTH (NEE KRAMER)", Fast-Growing Stocks Led to Rich Returns, New Zone Offers Tax Breaks for Business, Looking Ahead Means Looking Abroad, MUTUAL FUNDS REPORT, They've Lost That MMMBop Feeling, Abandoned Mills: A Paradox of Opportunity and Danger, 3 Former Executives Of Symbol on Trial, At Risk: Chapter 1: A Rainy Night in Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2006,1, The Business of Pornography, The Nissan Urge, The Stealth Epidemic, Fake Products and the Movies That Loved Them, A Psychological Fairy Tale Without Freudian Analysis, Issues and (Possible) Answers: A Primer on the Alito Hearings, Viacom's Ex-Finance Chief Joining Private Equity Firm, Stock Offerings This Week, Conservatives Rally for Supreme Court Nominee  ," Paid Notice: Memorials   MCCARTHY, EUGENE J.", AUTOS ON MONDAY/Design; Nissan Thinks Outside the Xbox," Sit, Stay, Fetch, and Don't Chew the Scenery; Dogs, Horses, Llamas and Even Rats Ply Acting Careers on Broadway"," Theodore H. Bullock, 90; Studied How Animals Function"," After Recall of Food, a Rush at Cornell to Save Sick Dogs", BUSINESS DIGEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2006,1, Alito Hearing: The Issues, A Missing Journalist," Getting Down to Business, Albany Split on Crime Issues", Symbols on the Wall Push Maya Writing Back by Years," Danish Fund Is Against Phone Deal, Citing Price", World Business Briefing | Asia: India: Toyota Shuts Factory Amid Strike, Endemic Problem of Safety in Coal Mining, BUSINESS DIGEST," Actor in the Closet, Agent in Control", Apple to Sell 'S.N.L.' Skits For iPod Use," More and More, Women Risk All to Enter U.S.", World Business Briefing | Europe: Netherlands: Investors Sue Shell in U.S., Wrong on Human Rights," Paid Notice: Deaths   FRISS, DAN", World Business Briefing | Americas: Canada: Cellphone Service's Growth Slows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
